time,phase,pitch_pos,phase,yaw_pos,Hip,Knee,pitch_vel,yaw_vel,Hip_vel,Knee_vel
0.000000000000000000e+00,STAGING,-0.000000000000000000e+00,-0.000000000000000000e+00,1.433377245755727003e+00,-2.111860112821934976e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.913842596838527532e-01,-7.972861399965337492e-01
8.589267730712890625e-03,STAGING,-9.108010923999931840e-04,-2.516687229001668413e-04,1.440296075849914814e+00,-2.118052024774207176e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.249033183085576981e+00,-1.132884415971787906e+00
1.628208160400390625e-02,STAGING,-1.845570634600002258e-03,-4.673847711003098482e-04,1.448940727957230834e+00,-2.127998931445653330e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.125031095701101824e-01,-1.227508204380957535e+00
2.397465705871582031e-02,STAGING,-2.564624128599979347e-03,-5.692506827501553346e-04,1.453846301894075932e+00,-2.138560965911069367e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.321448992068597117e-01,-1.059708925953194880e+00
3.210639953613281250e-02,STAGING,-4.242415614599981399e-03,-7.010771566502427277e-04,1.459151287576594846e+00,-2.145400026008231098e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.037076998099700109e+00,-8.527985677862585101e-01
4.005193710327148438e-02,STAGING,-5.668538377699983144e-03,-1.012667004050005204e-03,1.468179434880882317e+00,-2.152686434750687994e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.907257371822427938e-01,-6.622890895360880048e-01
4.894089698791503906e-02,STAGING,-6.435528771299992012e-03,-1.150485590400318614e-03,1.471071565406870452e+00,-2.158854190999635048e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.564462734152483325e-01,-8.023322476957454041e-01
5.693316459655761719e-02,STAGING,-7.370298313500001086e-03,-1.354217413700009587e-03,1.473452493839239263e+00,-2.166220556992632496e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.920448887874969701e-01,-9.663461027082856925e-01
6.498479843139648438e-02,STAGING,-7.669903935999977662e-03,-1.677791486000224097e-03,1.481649703674503105e+00,-2.173331134685306143e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.588554940086524425e-01,-8.439658195239824190e-01
7.306313514709472656e-02,STAGING,-8.197209831599994168e-03,-1.941444433799954794e-03,1.486043888264214852e+00,-2.178228750347799725e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.842033767643029285e-01,-5.386465304129252063e-01
8.075571060180664062e-02,STAGING,-8.736499952100018618e-03,-2.061286682800034242e-03,1.485228960970650602e+00,-2.181959776617162561e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.614883083505273542e-01,-5.033204527685672947e-01
8.844852447509765625e-02,STAGING,-8.820389526400018720e-03,-2.324939630600209028e-03,1.486571194160050569e+00,-2.185667021690229195e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.087767152366951207e-01,-3.380443920372352418e-01
9.614133834838867188e-02,STAGING,-9.203884723199995399e-03,-2.558632016150141908e-03,1.488776291542636132e+00,-2.187720256472842184e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.362552419320278707e-01,-1.866462744065095769e-01
1.038339138031005859e-01,STAGING,-9.491506120800019541e-03,-2.774348064350284915e-03,1.485548509092541103e+00,-2.188519267217703845e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.996099775723818470e-01,-7.940609907989813754e-02
1.115269660949707031e-01,STAGING,-9.575395695100019644e-03,-3.020024674800225739e-03,1.484525917651788651e+00,-2.189398047959592031e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.690640237723400330e-01,-1.122089414728084517e-01
1.192657947540283203e-01,STAGING,-9.215868948100003344e-03,-3.319630297299980271e-03,1.485708329966864971e+00,-2.190740281148991997e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.513947119574371447e-01,-1.803380078018847199e-01
1.269590854644775391e-01,STAGING,-8.904279100700018823e-03,-3.517370008150333405e-03,1.483647043283143674e+00,-2.191555208442556246e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.828787596971046758e-01,-1.412269865794342771e-01
1.346523761749267578e-01,STAGING,-8.616657703099994681e-03,-3.667172819400210670e-03,1.479460522840619907e+00,-2.191387429293881084e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.743771920341535719e-01,1.085794534214912649e-01
1.423451900482177734e-01,STAGING,-8.724515727200010673e-03,-3.918841542299933423e-03,1.477894615328572359e+00,-2.190700396150478735e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.532330102584355785e-02,1.148876849160822416e-01
1.500380039215087891e-01,STAGING,-8.568720803500018413e-03,-4.230431389700139988e-03,1.475753465021067745e+00,-2.190125153355021670e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.583054563347463639e-01,6.820667120734522082e-02
1.577308177947998047e-01,STAGING,-8.412925879800026152e-03,-4.392218425850025199e-03,1.471135512481951402e+00,-2.189909437306725160e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.124988963660418895e-01,4.675866832622067176e-02
1.654238700866699219e-01,STAGING,-8.412925879800026152e-03,-4.673847710999989857e-03,1.468562930077853768e+00,-2.190252860251669542e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.027694463055837990e-02,-4.660333275872793196e-02
1.737885475158691406e-01,STAGING,-8.161257156900025844e-03,-5.063335020250026020e-03,1.468994362174446566e+00,-2.190197058704453692e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.579469159041940018e-02,-6.230584923156744573e-03
