t,Hip_pos_msr,Hip_vel_msr,Hip_tau_msr,Knee_pos_msr,Knee_vel_msr,Knee_tau_msr,Hip_pos_des,Hip_vel_des,Hip_tau_des,Knee_pos_des,Knee_vel_des,Knee_tau_des,phase::i,base_height_msr::i,base_height_est::i
0.0,1.4311561381976818,0.5551230139360276,0.0,-2.109551089738998,-0.7379728871900479,0.0,0.0,0.0,15.859527305117604,0.0,0.0,-19.225347813290064,STAGING,6.9518790969131e-310,6.9518790969115e-310
0.007692813873291016,1.4370204501269552,1.105201792707985,0.0,-2.1199374804081454,-1.676638566863322,-8.069981575012207,0.0,0.0,-0.0497271192377047,0.0,0.0,0.12959843795594284,STAGING,6.9518790969131e-310,6.9518790969115e-310
0.016878843307495117,1.4460964407041073,0.9437108042915364,-0.029552938416600227,-2.14194051733438,-3.4643929945139686,0.03922325000166893,0.0,0.0,-0.2792581840912992,0.0,0.0,0.6924087938149052,STAGING,3.5618489e-316,3.56220935e-316
0.02460312843322754,1.4540220393171022,0.9739904465430329,-0.2362324744462967,-2.1715975416513404,-2.7376825167456222,0.5972962379455566,0.0,0.0,-0.33064678391503693,0.0,0.0,1.7843133399763411,STAGING,3.5618489e-316,3.56220935e-316
0.03287959098815918,1.459055413777352,0.22961781940669973,-0.3053736686706543,-2.183349946706184,-1.3019248106913117,1.7469815015792847,0.0,0.0,-0.4269122613334299,0.0,0.0,1.6878713199448103,STAGING,-1.4720417954058416,0.0
0.0406031608581543,1.4554920730299068,-0.7620379598140605,-0.4618682563304901,-2.184915947844989,0.3394796434097873,1.480959177017212,0.0,0.0,-0.2589675922552773,0.0,0.0,1.075764112411246,STAGING,-1.4802584503030194,0.0
0.048296213150024414,1.4555400099295284,1.0723990966068826,-0.5303906798362732,-2.1793872878398224,0.9715654199080827,1.0336815118789673,0.0,0.0,0.07772588973284716,0.0,0.0,0.26915589560994146,STAGING,-1.4884753598538547,0.0
0.05598902702331543,1.4683711824793682,1.7915403191996544,-0.003763393731787801,-2.1751287684211094,0.06191628146164899,0.42895007133483887,0.0,0.0,-0.473132533089273,0.0,0.0,-0.09664493268570468,STAGING,-1.4966917600973755,0.0
0.06371307373046875,1.4789811538444058,0.9512815574952241,-0.4039291441440582,-2.179339350940201,-1.0912308080175372,-0.022659124806523323,0.0,0.0,-0.8300177979153422,0.0,0.0,0.31985296176909495,STAGING,-1.5049081603408965,0.0
0.07140588760375977,1.4787574795217582,-0.6510123552205543,-0.8750245571136475,-2.192457957634255,-1.8785006639156339,0.39169907569885254,0.0,0.0,-0.6946498544194268,0.0,0.0,0.9343217491805131,STAGING,-1.5131362746526402,0.0
