t,Hip_pos_msr,Hip_vel_msr,Hip_tau_msr,Knee_pos_msr,Knee_vel_msr,Knee_tau_msr,Hip_pos_des,Hip_vel_des,Hip_tau_des,Knee_pos_des,Knee_vel_des,Knee_tau_des,phase::i,base_height_msr::i,base_height_est::i
0.0,1.432306623788596,0.7696039380531375,0.0,-2.110821417578966,-0.7745581042769035,0.0,0.0,0.0,15.859527305117604,0.0,0.0,-19.225347813290064,STAGING,6.94833058078293e-310,6.94833058078135e-310
0.007692575454711914,1.4398487272046194,1.0572603990022191,0.0,-2.1179001621742346,-1.077353824591191,0.0,0.0,0.0,-0.1267267379728931,0.0,0.0,0.15932399705908212,STAGING,6.94833058078293e-310,6.94833058078135e-310
0.01538538932800293,1.4459367134565406,0.8831530178166564,-0.035423606634140015,-2.127287742598926,-1.2539841659996025,0.15474234521389008,0.0,0.0,-0.29598681383387565,0.0,0.0,0.37443055857364205,STAGING,3.81622866e-316,3.81658913e-316
0.023087739944458008,1.449819602325876,0.3936335703610707,-0.28972986340522766,-2.1369391632250494,-1.1353889317234933,0.3148561716079712,0.0,0.0,-0.31072244824934,0.0,0.0,0.547233953100069,STAGING,3.81622866e-316,3.81658913e-316
0.030780553817749023,1.4547410928114235,0.9260494273442954,-0.35661551356315613,-2.143242865525267,-0.9953462416976213,0.5337498188018799,0.0,0.0,-0.2065783915753538,0.0,0.0,0.5747991215971264,STAGING,-1.0090650725177546,-0.19327044372632532
0.03847360610961914,1.4617878170557732,1.0799705051978699,-0.22245723009109497,-2.149330851777188,-0.7102135367988236,0.512336254119873,0.0,0.0,-0.4204395440113433,0.0,0.0,0.5615110972861478,STAGING,-1.0197992123702735,-0.20400458357884416
0.046166181564331055,1.4661340647458634,0.14887390515000104,-0.29786014556884766,-2.1545878069333284,-0.596665533743011,0.5793942809104919,0.0,0.0,-0.5441298340552625,0.0,0.0,0.4737366211040377,STAGING,-1.0305333522227922,-0.21473872343136294
0.05385899543762207,1.4685309097269348,0.3128885442866318,-0.5993471741676331,-2.1603323702403054,-0.7455404102706167,0.46836617588996887,0.0,0.0,-0.31260957863189376,0.0,0.0,0.46427521598139637,STAGING,-1.041267492075311,-0.22547286328388175
0.06155228614807129,1.4748266537528012,0.9487591590329179,-0.36211204528808594,-2.1663883361413077,-0.7821277807728849,0.46453070640563965,0.0,0.0,-0.3881792651646684,0.0,0.0,0.5904137240079925,STAGING,-1.0520016319278298,-0.23620700313640056
0.0692451000213623,1.48013163943532,0.39111105486531805,-0.37385326623916626,-2.1718291742483395,-0.6357771284293485,0.45208725333213806,0.0,0.0,-0.6481936338730847,0.0,0.0,0.6632111023681466,STAGING,-1.0627357717803487,-0.24694114298891934
0.07693767547607422,1.4799559020122937,-0.24475979394786068,-0.6855334639549255,-2.175775916565999,-0.4831175306871985,0.6521691083908081,0.0,0.0,-0.5392540451305105,0.0,0.0,0.6390033191596654,STAGING,-1.0734699116328674,-0.25767528284143826
0.08463025093078613,1.4813300619258556,0.4920432035058696,-0.5730206966400146,-2.17985055303382,-0.5461998222264189,0.6383923888206482,0.0,0.0,-0.3465596788332682,0.0,0.0,0.5981942011475244,STAGING,-1.0842040514853863,-0.26840942269395707
0.09232473373413086,1.4847176652502745,0.46428661510397895,-0.3495774269104004,-2.1833020098065625,-0.4477917339231117,0.6565335988998413,0.0,0.0,-0.5827163371185686,0.0,0.0,0.666407075127526,STAGING,-1.094938191337905,-0.2791435625464758
0.10001802444458008,1.4833434117099555,-0.44157693022873507,-0.48344987630844116,-2.1849399162947996,-0.052895712073011955,0.6372861266136169,0.0,0.0,-0.6116529971666093,0.0,0.0,0.6482661419305538,STAGING,-1.105672331190424,-0.28987770239899463
0.1077108383178711,1.4810584507035867,-0.18924763533506245,-0.6500664353370667,-2.1853153595906627,-0.01883121987018005,0.6444970369338989,0.0,0.0,-0.32477714462328666,0.0,0.0,0.46555928939963714,STAGING,-1.1164064710429427,-0.3006118422515134
0.11540365219116211,1.48248054751677,0.34064473477480495,-0.2787218987941742,-2.186010444635173,-0.13742619667270722,0.4627663791179657,0.0,0.0,-0.3753413620213307,0.0,0.0,0.4519060329609895,STAGING,-1.1271406108954616,-0.31134598210403236
0.12314224243164062,1.4832635480861722,-0.2422369039450797,-0.36620113253593445,-2.186833423829846,-0.03901758171889149,0.4989269971847534,0.0,0.0,-0.5499521379993071,0.0,0.0,0.517459286762847,STAGING,-1.1378747507479803,-0.322080121956551
0.13083481788635254,1.4793327223172152,-0.671197207337808,-0.5435560345649719,-2.18697723452871,0.07326911092399387,0.49585989117622375,0.0,0.0,-0.3837006526467668,0.0,0.0,0.47566179203799414,STAGING,-1.1486088906004992,-0.33281426180906987
0.13852763175964355,1.4757055281214464,-0.2775630518095055,-0.4761176109313965,-2.1867294981294947,0.03920461872116195,0.4874213933944702,0.0,0.0,-0.2117734781704215,0.0,0.0,0.42081274200632784,STAGING,-1.159343030453018,-0.34354840166158873
0.1462557315826416,1.475865255369013,0.02270933523782293,-0.2100704312324524,-2.186569770881928,0.0076633376316294155,0.3635304272174835,0.0,0.0,-0.28996458867545494,0.0,0.0,0.43561536051480637,STAGING,-1.1700771703055368,-0.3542825415141074
0.15394854545593262,1.4741236104339392,-0.272516522789887,-0.2619258463382721,-2.1860904018857137,0.14139808947798535,0.4295574724674225,0.0,0.0,-0.3818033045128864,0.0,0.0,0.44994845583147297,STAGING,-1.1808113101580555,-0.3650166813666264
