time,phase,pitch_pos,yaw_pos,Hip,Knee,pitch_vel,yaw_vel,Hip_vel,Knee_vel
0.000000000000000000e+00,STAGING,-0.000000000000000000e+00,-0.000000000000000000e+00,1.430740716276548419e+00,-2.110765616031750724e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.383939962895416320e-01,-6.938219259310079989e-01
7.725715637207031250e-03,STAGING,-1.210406714899969760e-03,-2.636529477997306969e-04,1.435534406238690996e+00,-2.116645750882969246e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.125016115419970708e-01,-9.751693010413403639e-01
1.541948318481445312e-02,STAGING,-1.989381333399986573e-03,-4.853611084500997208e-04,1.442261488734393193e+00,-2.126137257008011705e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.856766334268048046e-01,-1.211098617175784042e+00
2.311277389526367188e-02,STAGING,-3.367567196899956539e-03,-6.471481445999849313e-04,1.447214999570859639e+00,-2.136092215580565945e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.248452442196724910e-01,-1.180818225910230890e+00
3.082847595214843750e-02,STAGING,-4.098604915799997084e-03,-7.669903936000643796e-04,1.451912815733759299e+00,-2.144129698168263154e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.333467650692450324e-01,-8.855927438524672235e-01
3.852128982543945312e-02,STAGING,-5.309011630699966844e-03,-1.006674891599779187e-03,1.457617306788709044e+00,-2.150976622913018943e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.881997809031676461e-01,-8.679296816235989587e-01
4.621434211730957031e-02,STAGING,-6.052033574499959823e-03,-1.174454040199890414e-03,1.463305787668199409e+00,-2.156377576021537568e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.879272548786217412e-01,-7.203170342214743060e-01
5.390715599060058594e-02,STAGING,-7.070692690999968999e-03,-1.462075437800081090e-03,1.465031516054570604e+00,-2.161674603429705410e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.513969121862283607e-01,-7.556427373588040508e-01
6.159996986389160156e-02,STAGING,-7.813714634799961978e-03,-1.641838811299756173e-03,1.466901055139806287e+00,-2.168153949526192115e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.516693328806726249e-01,-7.707825116711737312e-01
6.929254531860351562e-02,STAGING,-7.837683084599977867e-03,-1.917475983999938904e-03,1.474027736634696328e+00,-2.173938397831681968e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.957695978392847813e-01,-7.619509805567395988e-01
