t,Hip_pos_msr,Hip_vel_msr,Hip_tau_msr,Knee_pos_msr,Knee_vel_msr,Knee_tau_msr,Hip_pos_des,Hip_vel_des,Hip_tau_des,Knee_pos_des,Knee_vel_des,Knee_tau_des,phase::i,base_height_msr::i,base_height_est::i
0.0,1.431731380993139,0.4264465654054512,0.0,-2.1101023640846446,-0.7354705716671338,0.0,0.0,0.0,15.859527305117604,0.0,0.0,-19.225347813290064,STAGING,6.9283091725963e-310,6.9283091725955e-310
0.007731199264526367,1.4379152410443028,1.3045543181637096,0.0,-2.1163581294852407,-1.1278423342231303,0.0,0.0,0.0,-0.017451855428559482,0.0,0.0,0.1333087493053033,STAGING,5.5633017e-316,6.9283091725955e-310
0.01544046401977539,1.445345460485624,0.9311065830008418,-0.014559625647962093,-2.1256979602638246,-1.285548648238413,0.1366007924079895,0.0,0.0,-0.34890664181883985,0.0,0.0,0.38579651918866675,STAGING,5.55732706e-316,3.63222597e-316
0.023133039474487305,1.4489247177817715,0.19935058270051537,-0.303348183631897,-2.133455686101388,-1.083684959531231,0.3950478136539459,0.0,0.0,-0.31860473512451226,0.0,0.0,0.5487081532035634,STAGING,5.5633017e-316,3.63222597e-316
0.03082561492919922,1.4518488686586783,0.628311096753447,-0.4455640912055969,-2.1421322649328656,-0.8969604365624975,0.5913912653923035,0.0,0.0,-0.1384497652920368,0.0,0.0,0.5175958413880409,STAGING,3.3957804e-316,0.0
0.03856706619262695,1.4606533416403185,1.145586570850381,-0.08001699298620224,-2.1485717260308395,-0.6458928909571758,0.615574836730957,0.0,0.0,-0.29930357915389216,0.0,0.0,0.5023227893869741,STAGING,3.3957796e-316,3.6322307e-316
0.04629683494567871,1.466182001645485,0.3911205345744717,-0.30319058895111084,-2.1536131523921975,-0.6660791474757856,0.4812129735946655,0.0,0.0,-0.5513354241810136,0.0,0.0,0.4347441664660782,STAGING,3e-323,0.0
0.053989410400390625,1.467524234834885,9.436553070312813e-06,-0.5256446599960327,-2.159653201744497,-0.8338784727169268,0.45111367106437683,0.0,0.0,-0.38581087335507225,0.0,0.0,0.4902101319776057,STAGING,3.4525932e-316,0.0
0.061682701110839844,1.4705123327868728,0.6812997216795094,-0.4974967837333679,-2.16586908214658,-0.8616348738653034,0.5221870541572571,0.0,0.0,-0.28324210903205144,0.0,0.0,0.628470238768873,STAGING,3.4525924e-316,3.16e-322
0.06941032409667969,1.4774791934074392,0.7847553220833844,-0.19322383403778076,-2.1724364373947154,-0.7215915752655104,0.574787437915802,0.0,0.0,-0.5204982720418494,0.0,0.0,0.698291362961807,STAGING,8e-323,3.16e-322
0.0771028995513916,1.479156984894189,0.04038267446619805,-0.5490217208862305,-2.1768146118089677,-0.5247743219511897,0.7307572960853577,0.0,0.0,-0.6281704189892423,0.0,0.0,0.6873759108951287,STAGING,3.319699e-316,3.6322165e-316
0.08479571342468262,1.4783260474251652,0.05047591098144078,-0.6804227232933044,-2.1812807953748687,-0.396086076449222,0.6406590342521667,0.0,0.0,-0.4233143310583347,0.0,0.0,0.6283708539662396,STAGING,3.3196982e-316,3.63222755e-316
0.09248828887939453,1.4809465667288841,0.6207409521236802,-0.4267197847366333,-2.1841169371001268,-0.2989390937503109,0.6839360594749451,0.0,0.0,-0.4172019898536452,0.0,0.0,0.6042223833083649,STAGING,8.4e-323,0.0
0.10018110275268555,1.4824006838929864,0.042906023825255914,-0.2768150269985199,-2.1856430532404185,-0.13366306812901282,0.532460629940033,0.0,0.0,-0.6171072145372258,0.0,0.0,0.5811741674862316,STAGING,3.41574063e-316,0.0
0.10788750648498535,1.4793806592168366,-0.633337683273809,-0.5726785659790039,-2.1863540548336315,-0.08950537744680824,0.5859241485595703,0.0,0.0,-0.45975202485282346,0.0,0.0,0.5122711999382082,STAGING,3.41573984e-316,0.0
0.11558008193969727,1.476871930261063,-0.010083008523491536,-0.47392478585243225,-2.1870251714283313,-0.0718422567012168,0.5516744256019592,0.0,0.0,-0.223658641285456,0.0,0.0,0.4965913689360232,STAGING,9e-323,0.0
0.12327265739440918,1.4767601399131176,-0.2497962112777153,-0.17909333109855652,-2.187720256472842,-0.04787089275768975,0.41604378819465637,0.0,0.0,-0.3830390251970406,0.0,0.0,0.49379985791552533,STAGING,3.3744502e-316,6.3e-322
0.1309657096862793,1.4737880521365891,-0.4718464139770892,-0.3424643576145172,-2.1873687816267897,0.1022652883311708,0.5120958685874939,0.0,0.0,-0.30989537054337535,0.0,0.0,0.4880699413443597,STAGING,3.3744494e-316,3.16e-322
0.1386582851409912,1.470783944009142,-0.411287035847339,-0.2767370045185089,-2.1867216334819006,0.09469541873000288,0.540353536605835,0.0,0.0,-0.21058734419175004,0.0,0.0,0.40983857718545724,STAGING,9.4e-323,3.63167024e-316
0.14635109901428223,1.4688664680242847,-0.27755226132575284,-0.21934765577316284,-2.1868014034789267,-0.061749005556793274,0.4559003412723541,0.0,0.0,-0.19570996822875564,0.0,0.0,0.4077991786820394,STAGING,1.66229217e-316,3.6322386e-316
0.15404367446899414,1.466118148197161,-0.32549496580611764,-0.21409742534160614,-2.1866656446811708,0.06441581158854023,0.3634157180786133,0.0,0.0,-0.21473816475180169,0.0,0.0,0.4867393207986722,STAGING,1.66229138e-316,3.6320979e-316
0.16173624992370605,1.4635454721663064,-0.6938964060162597,-0.18873296678066254,-2.18630611793401,0.056845918580683046,0.5069285035133362,0.0,0.0,-0.17012383530933214,0.0,0.0,0.4224350830462018,STAGING,1.4e-322,0.0
